SEMANTIC_CATEGORY,REF_ID,EN
BOSS_NAME,BOS_01,ODANSHAY
DECK_NAME,DEK_01,AGIMA
FUNCTION_NAME,FNC_001,BOMB
FUNCTION_NAME,FNC_002,BUFF
FUNCTION_NAME,FNC_003,ATTACK
FUNCTION_NAME,FNC_004,DRAIN
FUNCTION_NAME,FNC_005,EBOMB
FUNCTION_NAME,FNC_006,SHIELD
FUNCTION_NAME,FNC_007,SHOWCASE
FUNCTION_NAME,FNC_008,ONEBOMB
FUNCTION_NAME,FNC_009,ONESHIELD
FUNCTION_NAME,FNC_010,SCRAMBLE
FUNCTION_NAME,FNC_011,DATACUT
FUNCTION_NAME,FNC_012,PLINK
FUNCTION_NAME,FNC_013,COERCE
FUNCTION_NAME,FNC_014,EBUFF
FUNCTION_NAME,FNC_015,SPAM
FUNCTION_NAME,FNC_016,GREENING
FUNCTION_NAME,FNC_017,SNEAK
FUNCTION_NAME,FNC_018,DATABEND
FUNCTION_NAME,FNC_019,REBOOT
FUNCTION_NAME,FNC_020,CODESHATTER
HACKER_NAME,HAK_01,CR45H
HOST_NAME,HST_01,THRESHOLD
HOST_NAME,HST_02,BITMIRE
HOST_NAME,HST_03,ARENA
HOST_NAME,HST_04,VERDUN
HOST_NAME,HST_05,WEEDS
PASSIVE_TEXT,PSV_001,Deal %1 extra damage on a %0 sync
PASSIVE_TEXT,PSV_002,Gain %1 extra charge on a %0 sync
PASSIVE_TEXT,PSV_003,%0 syncs generate %1 fewer charge
PASSIVE_TEXT,PSV_004,Increase damage dealt by %0 FUNCTIONS by %1
PASSIVE_TEXT,PSV_005,Decrease damage dealt from %0 sources by %1
PASSIVE_TEXT,PSV_006,Gain %1 extra charge on a %0 sync
PASSIVE_TEXT,PSV_007,Increased explosion radius for all bombs
PROGRAM_NAME,PRG_H_001,BOMBER
PROGRAM_NAME,PRG_H_002,BUFFER
PROGRAM_NAME,PRG_H_003,ATTACKER
PROGRAM_NAME,PRG_H_004,DISABLER
PROGRAM_NAME,PRG_H_005,NINJA
PROGRAM_NAME,PRG_H_006,WEASEL
PROGRAM_NAME,PRG_S_001,E-BOMBER
PROGRAM_NAME,PRG_S_002,SHIELDER
PROGRAM_NAME,PRG_S_003,ATTACKER
PROGRAM_NAME,PRG_S_004,DISABLER
PROGRAM_NAME,PRG_S_005,MUSCLE
PROGRAM_NAME,PRG_S_006,ENHANCE
PROGRAM_NAME,PRG_S_007,SPAMBOT
PROGRAM_NAME,PRG_S_008,THROWER
SYSTEM_NAME,SYS_01,BOUNCER
SYSTEM_NAME,SYS_02,MIDNIGHT
SYSTEM_NAME,SYS_03,DOORMAN
UI_BUTTON_TEXT,GAME_UI_BUILD_BEGIN_QUICK,Begin
UI_BUTTON_TEXT,GAME_UI_BUILD_BEGIN_RUN,Begin battle {step}
UI_BUTTON_TEXT,GAME_UI_CHOOSER_BACK,Back
UI_BUTTON_TEXT,GAME_UI_CHOOSER_CONFIRM,Choose
UI_BUTTON_TEXT,GAME_UI_PAUSE_RESUME,Resume
UI_BUTTON_TEXT,GAME_UI_PAUSE_SAVE_QUIT,Save and Quit
UI_BUTTON_TEXT,GAME_UI_RESULT_ABANDON,Abandon Run
UI_BUTTON_TEXT,GAME_UI_RESULT_BACK_TO_TITLE,Back to title
UI_BUTTON_TEXT,GAME_UI_RESULT_COMPLETE_RUN,Complete Run
UI_BUTTON_TEXT,GAME_UI_RESULT_CONTINUE_RUN,Continue Run
UI_BUTTON_TEXT,GAME_UI_RESULT_NEW_BATTLE,New battle
UI_BUTTON_TEXT,GAME_UI_RESULT_REPLAY_SEED,Replay this seed
UI_BUTTON_TEXT,GAME_UI_RESULT_RETRY,Retry battle {step}
UI_BUTTON_TEXT,GAME_UI_TITLE_CONTINUE_BATTLE,Continue Run — battle {current} of {total}
UI_BUTTON_TEXT,GAME_UI_TITLE_CONTINUE_BOSS,Continue Run — Boss route ready
UI_BUTTON_TEXT,GAME_UI_TITLE_CONTINUE_SETUP,Continue Run — {step} setup
UI_BUTTON_TEXT,GAME_UI_TITLE_CONTINUE_TURN,Continue — turn {turn}
UI_BUTTON_TEXT,GAME_UI_TITLE_NEW_RUN,New Run
