STYLE_ID,FONT_ROLE,WEIGHT,NOMINAL_SIZE,MIN_SIZE,FIT_MODE,MAX_LINES,H_ALIGN,COLOR_ROLE
SCREEN_HEADING,UI_SANS,BOLD,22,22,FIXED,1,CENTER,HEADING
SCREEN_PROMPT,UI_SANS,REGULAR,15,15,WRAP,3,CENTER,SECONDARY
BUTTON_LABEL,UI_SANS,REGULAR,19,19,WRAP,2,CENTER,PRIMARY
CARD_BODY,UI_SANS,REGULAR,19,19,WRAP,6,LEFT,PRIMARY
BODY,UI_SANS,REGULAR,15,15,WRAP,0,LEFT,PRIMARY
FOOTNOTE,UI_SANS,REGULAR,13,13,WRAP,2,CENTER,FAINT
BATTLE_MESSAGE,UI_SANS,REGULAR,15,15,WRAP,3,CENTER,STATUS
PROGRAM_NAME_BATTLE,UI_SANS,REGULAR,11,8,SHRINK,1,LEFT,PRIMARY
PROGRAM_CHARGE,UI_MONO,REGULAR,9,9,FIXED,1,LEFT,SECONDARY
AVATAR_TITLE,UI_SANS,REGULAR,12,8,SHRINK,1,LEFT,PRIMARY
AVATAR_STAT,UI_MONO,REGULAR,12,8,SHRINK,1,LEFT,HEADING
AVATAR_TOTALS,UI_MONO,REGULAR,11,11,FIXED,1,RIGHT,EMPHASIS
DAMAGE_TAG,UI_SANS,BOLD,13,13,FIXED,1,CENTER,DAMAGE
REPORT_LINE,UI_MONO,REGULAR,15,15,FIXED,1,LEFT,PRIMARY
