SEMANTIC_CATEGORY,REF_ID,EN
BOSS_NAME,BOS_02,RAHNDAHL
BOSS_NAME,BOS_03,NEHBOCYET
BOSS_NAME,BOS_04,ECHOFALL
FUNCTION_NAME,FNC_021,LOGICBOMBEXPLODE
FUNCTION_NAME,FNC_022,BRAINSCRAMBLE
UI_BUTTON_TEXT,GAME_UI_TITLE_BOSS_ATTACK,Boss Attack
UI_SCREEN_PROMPT,GAME_UI_BOSS_ATTACK_PROMPT,No Run and no UPGRADEs — pick a Boss and fight it.
UI_SCREEN_PROMPT,GAME_UI_RESULT_BOSS_WIN,{opponent} breached.
UI_STATUS_TEXT,GAME_UI_CONTEXT_BOSS_ATTACK,Boss Attack
UI_STATUS_TEXT,GAME_UI_CONTEXT_QUICK_MATCH,Quick Match
